,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
4616,Beautiful Bondi family beach house,House,Australia,AUS,-33.89096,151.2714,Bondi Beach,8,623.0,1.0,0.0,7,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Hot tub', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'High chair', 'Children’s books and toys', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Luggage dropoff allowed', 'Long term stays allowed', 'Other']",264,4.0,4.0,Entire home/apt,2019-01-14 05:00:00,14,93.0,1,Hannah,1495162,True
4617,Quiet Comfy home near Sydney with carspace + wifi,Apartment,Australia,AUS,-33.88964,151.19735,Darlington,4,129.0,2.0,12.0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room', 'Private entrance', 'Children’s books and toys', 'Crib', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed']",311,1.0,1.0,Entire home/apt,2019-02-09 05:00:00,168,95.0,1,Linda,10814703,True
4618,"""Grandpa's Cottage"" 2 Story Studio",Guesthouse,United States of America,USA,21.39782,-157.74379,Kailua,3,124.0,2.0,25.0,9,250,moderate,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Free street parking', 'Family/kid friendly', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Long term stays allowed']",318,1.0,2.0,Entire home/apt,2019-02-27 05:00:00,64,97.0,1,Christian,10851216,True
4619,Gorgeous View! Newly Remodeled!!,Condominium,United States of America,USA,21.69992,-157.99543,Oʻahu,5,170.0,2.0,10.0,1,30,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Pack ’n Play/travel crib', 'Hot water', 'Long term stays allowed']",315,1.0,2.0,Entire home/apt,2019-03-01 05:00:00,94,94.0,1,Maisa,23621404,True
4621,MIDTOWN APARTMENT WITH SPECTACULAR VIEW,Apartment,United States of America,USA,40.76575,-73.99241,Manhattan,3,215.0,2.0,35.0,6,11,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Host greets you']",25,1.0,1.0,Entire home/apt,2019-02-25 05:00:00,32,97.0,1,Peter,22885233,True
4623,"2 grandes chambres queen, appartement lumineux",Apartment,Canada,CA,45.53253,-73.60357,Rosemont-La Petite-Patrie,4,50.0,2.0,7.0,2,61,moderate,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Breakfast', 'Free street parking', 'Heating', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Cleaning before checkout']",8,2.0,2.0,Private room,2018-12-25 05:00:00,14,96.0,6,Yann,2883070,False
4624,Apart(5)-5 minutes walk from Taksim,Apartment,Turkey,TUR,41.03338,28.98671,Beyoglu,2,105.0,1.0,0.0,1,1125,moderate,[''],282,1.0,1.0,Private room,2019-01-26 05:00:00,171,88.0,4,Faisal,11248362,True
4625,BONDI BEACH RETREAT,House,Australia,AUS,-33.88736,151.27,Bondi Beach,2,90.0,1.0,0.0,3,365,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Hot tub', 'Indoor fireplace', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Beachfront']",282,1.0,1.0,Private room,2018-12-21 05:00:00,88,95.0,1,Craige & Leonie,15752806,False
4626,Rio Parque Condominio Clube,Apartment,Brazil,BRA,-22.87535477564589,-43.266950628919275,Del Castilho,8,149.0,4.0,15.0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Washer']",280,2.0,8.0,Entire home/apt,2018-06-27 04:00:00,4,93.0,22,Gustavo,4420701,True
4627,"Large, sunny apartment. Perfect location.",Apartment,United States of America,USA,40.72917,-73.98811,East Village,4,210.0,3.0,60.0,1,30,strict_14_with_grace_period,"['Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Pets allowed', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Long term stays allowed']",5,1.0,1.0,Entire home/apt,2019-02-17 05:00:00,165,84.0,1,Lorena,2275829,True
4628,MK MTR:Family Hotel for 1~4 ppl Rm.55,Apartment,Hong Kong,CHN,22.32017,114.17136,Mong Kok,4,353.0,2.0,80.0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Safety card', 'Shampoo', 'Hangers', 'Hair dryer']",133,1.0,3.0,Private room,2019-03-08 05:00:00,89,97.0,5,Cathy,2232885,True
4629,Tara Cottage:a Haven for Relaxation,House,United States of America,USA,19.44303,-155.882,Island of Hawaiʻi,3,145.0,2.0,15.0,3,1125,strict_14_with_grace_period,"['Cable TV', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox']",140,1.0,2.0,Entire home/apt,2019-02-22 05:00:00,30,100.0,1,Michael,23745299,True
4630,LOVELY AND CENTRAL ROOM,Apartment,Spain,ESP,41.38026,2.17544,Ciutat Vella,2,85.0,1.0,0.0,2,31,moderate,"['Internet', 'Wifi', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer']",160,1.0,2.0,Private room,2019-02-20 05:00:00,229,92.0,2,Tony,23621055,False
4631,Sunny quiet apt. with backyard in Plateau,Apartment,Canada,CA,45.52104,-73.58146,Le Plateau,2,70.0,1.0,35.0,3,1125,moderate,"['Internet', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Dog(s)', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",0,1.0,1.0,Entire home/apt,2018-10-07 04:00:00,24,96.0,3,Maria,8729599,True
4634,Modern 1BR East Village Apartment,Apartment,United States of America,USA,40.73023,-73.98405,Manhattan,2,200.0,1.0,0.0,7,1125,flexible,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Essentials']",0,1.0,1.0,Entire home/apt,2016-12-13 05:00:00,3,80.0,1,Josh,8563244,True
4635,Near the bosphorus,Apartment,Turkey,TUR,41.06678,29.0418,Beşiktaş,6,185.0,1.0,79.0,2,1125,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Free street parking', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Host greets you']",343,3.0,3.0,Private room,2018-10-12 04:00:00,23,95.0,2,Omer,2330281,False
4636,Pipeline Studio   (Phone number hidden by Airbnb),Apartment,United States of America,USA,21.66324,-158.05243,Oʻahu,2,99.0,2.0,50.0,3,10,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Microwave', 'Coffee maker', 'Refrigerator', 'Cooking basics', 'BBQ grill', 'Garden or backyard', 'Beachfront']",299,0.0,1.0,Private room,2019-02-26 05:00:00,129,95.0,1,Craig And Francie,17739045,True
4637,Charmoso apartamento no Rio,Apartment,Brazil,BRA,-22.938548968351878,-43.191228426649324,Laranjeiras,4,172.0,2.0,60.0,1,1125,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,2.0,3.0,Entire home/apt,2017-12-18 05:00:00,6,100.0,1,Flávia,23907954,True
4640,Large eclectic studio East Village,Apartment,United States of America,USA,40.7257,-73.9795,East Village,2,230.0,1.0,25.0,1,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Bathtub', 'Hot water']",365,0.0,1.0,Entire home/apt,2019-01-03 05:00:00,45,97.0,1,Oksana,1420868,True
4641,Charming MtlHomestay Accommodation!,House,Canada,CA,45.46834,-73.60695,Notre-Dame-de-Grace,7,47.0,1.0,45.0,3,365,strict_14_with_grace_period,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Washer', 'Smoke detector']",365,4.0,4.0,Private room,2018-11-08 05:00:00,17,89.0,2,Maureen,208453,False
4642,LARGE GREAT STUDIO HELLS KITCHEN,Apartment,United States of America,USA,40.76663,-73.9895,Midtown,2,150.0,1.0,0.0,1,1125,flexible,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Essentials', 'Shampoo']",0,0.0,1.0,Entire home/apt,2015-06-08 04:00:00,3,100.0,1,Valmik,7759020,True
4644,"W'burg 2 bedroom w/ yard & laundry, 5 mins to L",Apartment,United States of America,USA,40.7111,-73.94643,Brooklyn,5,235.0,4.0,20.0,3,10,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Hot water', 'Long term stays allowed', 'Other']",110,2.0,3.0,Entire home/apt,2019-02-19 05:00:00,91,96.0,4,Ryan,815977,True
4645,welcom home,Apartment,Canada,CA,45.54413,-73.61843,Villeray-Saint-Michel-Parc-Extension,6,110.0,4.0,15.0,1,1125,moderate,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",132,3.0,2.0,Entire home/apt,2018-08-26 04:00:00,32,96.0,2,Ichraf,24241309,False
4648,FULLY FURNISHED STUDIO B IN TSIM SHA TSUI 尖沙咀6B,Apartment,Hong Kong,CHN,22.30115,114.17565,Tsim Sha Tsui,2,534.0,1.0,0.0,28,365,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Self check-in', 'Smart lock']",336,1.0,1.0,Entire home/apt,2017-11-30 05:00:00,15,88.0,20,Daisy,6811924,True
4649,"Grand appartement pour un séjour idéal, 3 chambres",Apartment,Canada,CA,45.46612,-73.56921,Verdun,5,60.0,2.0,7.0,14,365,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Cooking basics', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Other']",75,3.0,3.0,Entire home/apt,2019-02-28 05:00:00,18,100.0,1,François,24258186,False
4651,Casa de Vilela,Farm stay,Portugal,PRT,41.3477,-8.41116,,16,500.0,16.0,50.0,3,1125,moderate,"['TV', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'High chair', 'Crib', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Step-free access', 'Wide doorway', 'Disabled parking spot']",266,9.0,16.0,Entire home/apt,2018-08-01 04:00:00,13,100.0,2,Clara,24480387,True
4652,Luxury 2BR/2BTH on The Highline - sleeps 4,Apartment,United States of America,USA,40.74703,-74.00455,Chelsea,4,400.0,4.0,100.0,2,1125,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Bathtub', 'Room-darkening shades', 'Hot water']",20,2.0,3.0,Entire home/apt,2019-03-03 05:00:00,161,98.0,1,Meritxell,4383543,True
4653,Cute apart with terrace Downtown !,Apartment,Spain,ESP,41.37649,2.17583,Ciutat Vella,2,128.0,2.0,20.0,3,30,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Heating', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'High chair', 'Crib', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",285,1.0,1.0,Entire home/apt,2019-02-07 05:00:00,52,93.0,33,Marta+Paul,3744544,True
4654,Deluxe Family Suites Two-Bedroom 6 Px With Kitchen,Aparthotel,Turkey,TUR,41.0068,28.97018,Sultanahmet,6,274.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'High chair', 'Children’s books and toys', 'Crib', 'Pack ’n Play/travel crib', 'Hot water', 'Ethernet connection', 'Pocket wifi', 'Luggage dropoff allowed', 'Long term stays allowed']",279,2.0,6.0,Private room,2018-06-13 04:00:00,17,89.0,9,Emrecan,17365667,True
4655,3BR 2WR Apt (KS) 5 min wan chai MTR,Apartment,Hong Kong,CHN,22.27763,114.17852,Wan Chai,8,1319.0,4.0,157.0,1,365,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Hot tub', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo']",35,3.0,5.0,Entire home/apt,2019-02-20 05:00:00,223,93.0,2,Jenny,23053002,True
4657,"Beautiful & Bright, Fully Furnished Apartment",Apartment,Canada,CA,45.49939,-73.63456,Cote-des-Neiges-Notre-Dame-de-Grace,4,99.0,4.0,25.0,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'High chair', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Wide doorway', 'Well-lit path to entrance', 'Wide doorway', 'Step-free access', 'Host greets you']",244,2.0,3.0,Entire home/apt,2019-01-10 05:00:00,59,96.0,1,Kosta & Denis,24484653,False
4658,Cidade Maravilhosa,Apartment,Brazil,BRA,-22.93776591171072,-43.19144219127161,Laranjeiras,4,295.0,5.0,70.0,3,90,strict_14_with_grace_period,"['TV', 'Air conditioning', 'Pool', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Elevator', 'Family/kid friendly', 'Essentials', 'Hangers', 'Self check-in', 'Building staff', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Step-free access', 'Accessible-height toilet', 'Step-free access']",163,2.0,3.0,Entire home/apt,2018-11-23 05:00:00,18,89.0,2,Rudimar,10563531,True
4659,"PRIVATE Room in Spacious, Quiet Apt",Apartment,United States of America,USA,40.82537,-73.94392,Harlem,3,85.0,2.0,20.0,1,26,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Paid parking off premises', 'Breakfast', 'Elevator', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Outlet covers', 'Window guards', 'Babysitter recommendations', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Wide hallway clearance', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Wide doorway', 'Bathtub with bath chair', 'Wide clearance to shower', 'toilet', 'Step-free access', 'Wide entryway', 'Host greets you', 'Handheld shower head', 'Fixed grab bars for shower', 'Fixed grab bars for toilet']",271,1.0,1.0,Private room,2019-02-25 05:00:00,420,92.0,2,Agnes,277379,True
4660,Studio no Leme - Quadra da Praia,Apartment,Brazil,BRA,-22.963912030346837,-43.1692965156276,Leme,2,280.0,1.0,0.0,3,1125,flexible,"['Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Beachfront']",38,0.0,1.0,Entire home/apt,2019-01-01 05:00:00,8,93.0,2,Paloma,24569994,True
4661,Charming Beach Cottage in Ewa Beach,House,United States of America,USA,21.31449,-157.99245,Leeward Side,6,190.0,1.0,0.0,2,29,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",282,2.0,3.0,Entire home/apt,2019-02-18 05:00:00,92,97.0,1,Rebecca,24624590,True
4663,Luxury ocean view Beach Villa 622,Condominium,United States of America,USA,21.33616,-158.1217,Makakilo/Kapolei/Honokai Hale,8,599.0,1.0,0.0,6,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Elevator', 'Hot tub', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'High chair', 'Pack ’n Play/travel crib', 'Hot water', 'Luggage dropoff allowed', 'Host greets you', 'Beachfront']",258,3.0,4.0,Entire home/apt,2018-12-26 05:00:00,4,100.0,6,Denice,2872572,True
4664,Pineapple Shack,House,United States of America,USA,21.64754,-157.91973,Oʻahu,4,145.0,1.0,0.0,2,20,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Self check-in', 'Keypad', 'Private living room', 'Pack ’n Play/travel crib', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Step-free access', 'Flat path to front door', 'Step-free access', 'Step-free access', 'Step-free access']",213,2.0,3.0,Entire home/apt,2019-01-27 05:00:00,145,87.0,4,Katie,12518090,True
4666,"Room in Brooklyn, 20 min from Manh",Apartment,United States of America,USA,40.65627,-73.95936,Lefferts Garden,2,40.0,1.0,10.0,2,1125,moderate,"['Wifi', 'Kitchen', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,1.0,1.0,Private room,2018-12-28 05:00:00,48,95.0,3,Katya,2052361,True
4667,Great LES / Chinatown bedroom,Apartment,United States of America,USA,40.71137,-73.99403,Chinatown,1,80.0,1.0,15.0,2,60,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Other']",2,1.0,0.0,Private room,2019-01-06 05:00:00,48,95.0,1,Kristine,2368753,False
4669,"Triple Room@Austin,Jordan,Tsim Sha Tsui",Boutique hotel,Hong Kong,CHN,22.3081,114.16578,Yau Tsim Mong,3,761.0,3.0,150.0,1,180,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Elevator', 'Heating', 'Family/kid friendly', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Self check-in', 'Smart lock', 'Bed linens', 'Extra pillows and blankets']",143,1.0,2.0,Private room,2019-02-15 05:00:00,210,96.0,9,Vincent & Partners@La Boutique,22037293,False
4671,500MB Cozy studio B: near RED LINE Jordan MTR +ICC,Apartment,Hong Kong,CHN,22.30361,114.17739,Yau Tsim Mong,3,550.0,2.0,80.0,2,10000,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Long term stays allowed', 'Other']",88,1.0,2.0,Entire home/apt,2018-11-05 05:00:00,29,83.0,17,David,3820308,True
